country,city,Year,pm25,latitude,longitude,population,wbinc16_text,Region,conc_pm25,color_pm25
Albania,Tirana,2013,16.06236628,41.33026886,19.82177162,453509,Upper middle income,Europe (LMIC),15-<25,orange
Albania,Durres,2015,11.89351847,41.3199,19.4492,113249,Upper middle income,Europe (LMIC),10-<15,yellow
Albania,Durres,2016,14.29827251,41.3199,19.4492,113249,Upper middle income,Europe (LMIC),10-<15,yellow
Albania,Korce,2015,30.34333976,40.62593,20.78018,51152,Upper middle income,Europe (LMIC),25-<35,darkorange
Albania,Korce,2016,28.61583069,40.62593,20.78018,51152,Upper middle income,Europe (LMIC),25-<35,darkorange
Albania,Vlore,2014,10.27975425,40.40309,19.4862,79513,Upper middle income,Europe (LMIC),10-<15,yellow
Albania,Vlore,2015,13.06917568,40.40309,19.4862,79513,Upper middle income,Europe (LMIC),10-<15,yellow
Albania,Vlore,2016,15.29752101,40.40309,19.4862,79513,Upper middle income,Europe (LMIC),15-<25,orange
Albania,Vrith,2015,13.23632112,42.3139,19.52342,79513,Upper middle income,Europe (LMIC),10-<15,yellow
Andorra,Escaldes-Engordany,2012,18.32047414,42.509694,1.539138,37466.87891,High income,Europe (HIC),15-<25,orange
Andorra,Escaldes-Engordany,2014,11,42.509694,1.539138,37466.87891,High income,Europe (HIC),10-<15,yellow
Andorra,Escaldes-Engordany,2015,11.3,42.509694,1.539138,37466.87891,High income,Europe (HIC),10-<15,yellow
Andorra,Escaldes-Engordany,2016,11.5,42.509694,1.539138,37466.87891,High income,Europe (HIC),10-<15,yellow
Andorra,Escaldes-Engordany,2017,10.3,42.509694,1.539138,37466.87891,High income,Europe (HIC),10-<15,yellow
Argentina,Buenos Aires,2016,12.44930777,-34.61047557,-58.39671997,15180176,Upper middle income,Americas (LMIC),10-<15,yellow
Australia,Central Coast,2014,5.5,-33.2788887,151.4324951,297713,High income,Western Pacific (HIC),<10,green
Australia,Devonport,2013,6.4,-41.18479919,146.345993,29050,High income,Western Pacific (HIC),<10,green
Australia,Geelong,2014,7.507529594,-38.17499924,144.3690033,173450,High income,Western Pacific (HIC),<10,green
Australia,Hobart,2013,6.1,-42.854599,147.3150024,170977,High income,Western Pacific (HIC),<10,green
Australia,La Trobe Valley,2014,9.8,-38.22105789,146.3975372,72396,High income,Western Pacific (HIC),<10,green
Australia,Launceston,2013,8.1,-41.41740036,147.125,82222,High income,Western Pacific (HIC),<10,green
Australia,Lower Hunter,2014,7.433333333,-32.79833221,151.6600037,620530,High income,Western Pacific (HIC),<10,green
Australia,Melbourne,2014,7.7,-37.78105545,145.0307007,4203416,High income,Western Pacific (HIC),<10,green
Australia,Upper Hunter,2014,8.433333333,-32.47222137,151.0919495,620530,High income,Western Pacific (HIC),<10,green
Australia,Adelaide,2012,7.3,-34.62188333,138.48695,1255516,High income,Western Pacific (HIC),<10,green
Australia,Adelaide,2013,7.25,-34.64607143,138.4885,1255516,High income,Western Pacific (HIC),<10,green
Australia,Adelaide,2014,7.1,-34.64607143,138.4885,1255516,High income,Western Pacific (HIC),<10,green
Australia,Adelaide,2015,7.45,-34.64607143,138.4885,1255516,High income,Western Pacific (HIC),<10,green
Australia,Adelaide,2016,6.875,-34.64607143,138.4885,1255516,High income,Western Pacific (HIC),<10,green
Australia,Albany,2010,6.897371748,-35.011,117.888,26644,High income,Western Pacific (HIC),<10,green
Australia,Albany,2011,6.290055997,-35.011,117.888,26644,High income,Western Pacific (HIC),<10,green
Australia,Albany,2012,6.50695448,-35.011,117.888,26644,High income,Western Pacific (HIC),<10,green
Australia,Albany,2013,6.680473266,-35.011,117.888,26644,High income,Western Pacific (HIC),<10,green
Australia,Albany,2014,6.940751445,-35.011,117.888,26644,High income,Western Pacific (HIC),<10,green
Australia,Albany,2015,6.897371748,-35.011,117.888,26644,High income,Western Pacific (HIC),<10,green
Australia,Albany,2016,7.591446893,-35.011,117.888,26644,High income,Western Pacific (HIC),<10,green
Australia,Albury,2013,6.845195613,-36.050349,146.942048,26644,High income,Western Pacific (HIC),<10,green
Australia,Albury,2014,6.911190765,-36.050349,146.942048,26644,High income,Western Pacific (HIC),<10,green
Australia,Albury,2015,6.328588106,-36.050349,146.942048,26644,High income,Western Pacific (HIC),<10,green
Australia,Albury,2016,6.53002623,-36.050349,146.942048,26644,High income,Western Pacific (HIC),<10,green
Australia,Ayr,2015,10.41536909,-19.5839,147.4059,8393,High income,Western Pacific (HIC),10-<15,yellow
Australia,Bathurst,2013,6.556054576,-33.401922,149.57459,31292,High income,Western Pacific (HIC),<10,green
Australia,Bathurst,2014,6.32957972,-33.401922,149.57459,31292,High income,Western Pacific (HIC),<10,green
Australia,Bathurst,2015,5.816344931,-33.401922,149.57459,31292,High income,Western Pacific (HIC),<10,green
Australia,Bathurst,2016,5.763902258,-33.401922,149.57459,31292,High income,Western Pacific (HIC),<10,green
Australia,Brisbane,2015,6.081684214,-27.39892222,153.0779111,2201930,High income,Western Pacific (HIC),<10,green
Australia,Brisbane,2016,6.610636631,-27.38201429,153.0761714,2201930,High income,Western Pacific (HIC),<10,green
Australia,Bunbury,2010,9.2,-33.3416,115.6433,64384,High income,Western Pacific (HIC),<10,green
Australia,Bunbury,2011,8,-33.3416,115.6433,64384,High income,Western Pacific (HIC),<10,green
Australia,Bunbury,2012,8.6,-33.3416,115.6433,64384,High income,Western Pacific (HIC),<10,green
Australia,Bunbury,2013,7.8,-33.3416,115.6433,64384,High income,Western Pacific (HIC),<10,green
Australia,Bunbury,2014,7.8,-33.3416,115.6433,64384,High income,Western Pacific (HIC),<10,green
Australia,Bunbury,2015,9.3,-33.3416,115.6433,64384,High income,Western Pacific (HIC),<10,green
Australia,Bunbury,2016,8.4,-33.3416,115.6433,64384,High income,Western Pacific (HIC),<10,green
Australia,Busselton,2010,8.5,-33.6482,115.352,21405,High income,Western Pacific (HIC),<10,green
Australia,Busselton,2011,8.5,-33.6482,115.352,21405,High income,Western Pacific (HIC),<10,green
